Date,Employee_Name,unit_code,product_name,Số lượng xuất,province
2024-10-02,Tùng Bảo Bùi,công ty TNHH Một Thành Viên 123,đèn LED âm trần,52,Hà Nội
2024-11-16,Kim Mai,công ty cổ phần XYZ,đèn LED âm trần,75,TP Hồ Chí Minh
2024-09-02,Phương Bảo Lê,công ty TNHH Một Thành Viên 123,đèn bàn học,8,Cần Thơ
2024-03-16,Hưng Xuân Hoàng,công ty TNHH ABC,đèn LED tròn,53,Đà Nẵng
2025-03-20,Bà Xuân Lê,công ty cổ phần XYZ,đèn LED âm trần,89,Hà Nội
2024-01-07,Bà An Mai,công ty cổ phần XYZ,đèn LED tròn,98,Cần Thơ
2024-02-18,Bà Lan Trần,công ty TNHH ABC,đèn LED tròn,15,TP Hồ Chí Minh
2024-05-27,Cô Khoa Bùi,công ty TNHH Một Thành Viên 123,đèn LED âm trần,72,Đà Nẵng
2024-03-29,Quý ông Huy Bùi,công ty TNHH ABC,đèn LED tròn,61,Hà Nội
2024-07-23,Bà Thảo Đặng,công ty TNHH Một Thành Viên 123,đèn LED âm trần,19,Hà Nội
2024-09-24,Thành Hoàng,công ty cổ phần XYZ,đèn cảm ứng,99,Cần Thơ
2024-12-31,An Nguyễn,công ty TNHH ABC,đèn LED âm trần,19,Đà Nẵng
2024-09-14,Bác Hoàng Mai,công ty cổ phần XYZ,đèn LED tròn,89,Cần Thơ
2024-03-29,Nhiên Vũ,công ty cổ phần XYZ,đèn LED tròn,90,Đà Nẵng
2024-09-14,Trọng Dương,công ty TNHH Một Thành Viên 123,đèn LED tròn,55,TP Hồ Chí Minh
2025-02-18,Vi Nguyễn,công ty TNHH Một Thành Viên 123,đèn LED tròn,59,Đà Nẵng
2025-02-25,Bà Hải Hoàng,công ty TNHH ABC,đèn cảm ứng,94,Đà Nẵng
2024-09-25,Linh Dương,công ty TNHH ABC,đèn cảm ứng,21,Đà Nẵng
2024-12-24,Khoa Vũ,công ty cổ phần XYZ,đèn bàn học,35,Hà Nội
2024-02-24,Lâm Hữu Vũ,công ty TNHH Một Thành Viên 123,đèn LED tròn,54,Đà Nẵng
2024-08-08,Bà Thành Vũ,công ty cổ phần XYZ,đèn bàn học,2,Hà Nội
2024-01-29,Lâm Phạm,công ty TNHH ABC,đèn LED tròn,40,Đà Nẵng
2024-08-12,Phúc Phạm,công ty TNHH Một Thành Viên 123,đèn cảm ứng,63,Hà Nội
2024-12-27,Lâm Hải Bùi,công ty TNHH ABC,đèn LED tròn,46,Đà Nẵng
2024-02-19,Chị Hương Mai,công ty TNHH ABC,đèn bàn học,40,Cần Thơ
2024-10-23,Lâm Hoàng,công ty TNHH ABC,đèn cảm ứng,12,TP Hồ Chí Minh
2024-12-28,Anh Thị Mai,công ty TNHH Một Thành Viên 123,đèn LED âm trần,72,Hà Nội
2024-07-01,Lan Bùi,công ty TNHH Một Thành Viên 123,đèn bàn học,77,TP Hồ Chí Minh
2024-10-18,Hải Mai,công ty cổ phần XYZ,đèn LED tròn,13,TP Hồ Chí Minh
2024-05-10,Khoa Quang Dương,công ty TNHH ABC,đèn cảm ứng,99,TP Hồ Chí Minh
2024-05-09,Quý cô Duyên Lê,công ty cổ phần XYZ,đèn LED tròn,12,TP Hồ Chí Minh
2024-05-27,Thành Đặng,công ty TNHH ABC,đèn cảm ứng,61,Đà Nẵng
2024-09-18,Anh Thị Lê,công ty TNHH Một Thành Viên 123,đèn bàn học,69,Hà Nội
2024-11-28,Quang Văn Nguyễn,công ty cổ phần XYZ,đèn bàn học,46,TP Hồ Chí Minh
2024-04-08,Anh Khoa Hoàng,công ty TNHH ABC,đèn bàn học,40,Hà Nội
2024-07-13,Nhật Quang Hoàng,công ty TNHH Một Thành Viên 123,đèn bàn học,47,Cần Thơ
2024-04-11,Bảo Nguyễn,công ty cổ phần XYZ,đèn bàn học,100,Cần Thơ
2024-12-26,Vũ Mai,công ty TNHH ABC,đèn LED âm trần,31,Đà Nẵng
2025-03-24,Hải Đặng,công ty cổ phần XYZ,đèn LED âm trần,61,TP Hồ Chí Minh
2024-04-28,Ông Thành Mai,công ty cổ phần XYZ,đèn LED âm trần,83,TP Hồ Chí Minh
2024-05-16,Quang Trần,công ty TNHH Một Thành Viên 123,đèn bàn học,46,TP Hồ Chí Minh
2025-03-09,Bà Thành Phạm,công ty TNHH ABC,đèn LED tròn,45,TP Hồ Chí Minh
2024-06-05,Hồng Mai,công ty TNHH Một Thành Viên 123,đèn LED âm trần,68,Hà Nội
2024-11-26,Quý cô Bảo Lê,công ty TNHH Một Thành Viên 123,đèn cảm ứng,100,Cần Thơ
2024-11-10,Vũ Vũ,công ty cổ phần XYZ,đèn LED tròn,6,Đà Nẵng
2024-05-12,An Đặng,công ty TNHH ABC,đèn bàn học,6,Hà Nội
2024-03-10,Trọng Đức Mai,công ty cổ phần XYZ,đèn bàn học,12,Đà Nẵng
2025-03-16,Tùng Mai Dương,công ty cổ phần XYZ,đèn LED âm trần,35,TP Hồ Chí Minh
2024-04-25,Anh Thế Bùi,công ty cổ phần XYZ,đèn LED âm trần,61,Đà Nẵng
2024-04-02,Hạnh Văn Lê,công ty TNHH Một Thành Viên 123,đèn bàn học,45,Cần Thơ
2025-02-09,Kim Hoàng,công ty cổ phần XYZ,đèn bàn học,21,Cần Thơ
2024-08-20,Chị Phương Hoàng,công ty cổ phần XYZ,đèn cảm ứng,91,Hà Nội
2025-02-11,Trọng Mai,công ty TNHH Một Thành Viên 123,đèn LED âm trần,82,Cần Thơ
2024-08-02,Thành Hoàng,công ty cổ phần XYZ,đèn LED tròn,11,Hà Nội
2024-03-21,Quý ông Trọng Nguyễn,công ty cổ phần XYZ,đèn LED tròn,5,Cần Thơ
2025-03-12,Anh Vũ,công ty TNHH Một Thành Viên 123,đèn bàn học,26,Hà Nội
2025-01-15,Chị Yến Lê,công ty cổ phần XYZ,đèn cảm ứng,66,Đà Nẵng
2025-02-15,Quý ông Hoàng Vũ,công ty TNHH Một Thành Viên 123,đèn LED âm trần,50,Cần Thơ
2025-03-16,Hưng Nguyễn,công ty cổ phần XYZ,đèn LED tròn,1,Hà Nội
2024-01-22,Quý cô Hạnh Phạm,công ty TNHH ABC,đèn bàn học,23,Đà Nẵng
2024-01-15,Thành Xuân Bùi,công ty cổ phần XYZ,đèn LED âm trần,68,Đà Nẵng
2024-04-04,Bảo Bảo Đặng,công ty TNHH Một Thành Viên 123,đèn bàn học,66,Cần Thơ
2024-06-02,Hồng Mai,công ty TNHH Một Thành Viên 123,đèn LED âm trần,100,Hà Nội
2024-04-15,Phương Đức Lê,công ty cổ phần XYZ,đèn cảm ứng,47,Hà Nội
2025-02-06,Khoa Thị Dương,công ty TNHH ABC,đèn LED âm trần,23,Đà Nẵng
2024-03-23,Khoa Văn Nguyễn,công ty cổ phần XYZ,đèn bàn học,2,TP Hồ Chí Minh
2025-04-06,Cô Ánh Dương,công ty TNHH ABC,đèn cảm ứng,86,Cần Thơ
2024-09-15,Bà Ngọc Lê,công ty cổ phần XYZ,đèn LED tròn,84,Đà Nẵng
2024-08-28,Nhật Đặng,công ty cổ phần XYZ,đèn bàn học,26,Cần Thơ
2024-10-09,Quý ông Phúc Lê,công ty cổ phần XYZ,đèn LED âm trần,61,Đà Nẵng
2024-02-05,Lâm Văn Bùi,công ty TNHH ABC,đèn cảm ứng,32,Hà Nội
2024-12-02,Quý cô Hạnh Trần,công ty TNHH ABC,đèn cảm ứng,8,Hà Nội
2024-03-24,Cô Yến Dương,công ty cổ phần XYZ,đèn LED tròn,89,Đà Nẵng
2025-03-02,Bà Nhật Phạm,công ty TNHH ABC,đèn bàn học,27,Đà Nẵng
2024-03-25,Phương Bùi,công ty TNHH ABC,đèn bàn học,30,Đà Nẵng
2024-03-27,Cô Yến Nguyễn,công ty TNHH ABC,đèn LED âm trần,60,Hà Nội
2024-08-28,Quang Bùi,công ty cổ phần XYZ,đèn LED tròn,11,TP Hồ Chí Minh
2024-08-05,Chị An Phạm,công ty TNHH Một Thành Viên 123,đèn cảm ứng,71,TP Hồ Chí Minh
2024-03-25,Bác Quang Nguyễn,công ty TNHH Một Thành Viên 123,đèn LED tròn,47,TP Hồ Chí Minh
2025-01-26,Cô Hương Vũ,công ty cổ phần XYZ,đèn bàn học,90,Hà Nội
2024-05-20,Bà Yến Trần,công ty TNHH ABC,đèn bàn học,92,Đà Nẵng
2024-05-15,Quý ông Anh Lê,công ty TNHH Một Thành Viên 123,đèn LED tròn,9,Đà Nẵng
2025-04-05,Anh Nam Trần,công ty TNHH ABC,đèn cảm ứng,55,Đà Nẵng
2025-03-20,Bà Lan Phạm,công ty TNHH Một Thành Viên 123,đèn LED âm trần,97,Cần Thơ
2024-01-22,Huy Mai Bảo Nguyễn,công ty TNHH ABC,đèn cảm ứng,40,Cần Thơ
2024-08-16,Nam Hữu Trần,công ty TNHH Một Thành Viên 123,đèn bàn học,47,Cần Thơ
2024-09-30,Ông Hưng Bùi,công ty cổ phần XYZ,đèn bàn học,9,Hà Nội
2024-08-07,Ngọc Trần,công ty TNHH ABC,đèn bàn học,35,TP Hồ Chí Minh
2024-02-28,Hoàng Phú Hoàng,công ty TNHH ABC,đèn LED âm trần,89,Hà Nội
2025-02-07,Xuân Lê,công ty TNHH Một Thành Viên 123,đèn bàn học,70,Đà Nẵng
2024-02-17,Bà An Trần,công ty TNHH ABC,đèn LED âm trần,100,Cần Thơ
2024-12-21,Xuân Bùi,công ty cổ phần XYZ,đèn cảm ứng,48,TP Hồ Chí Minh
2024-11-29,Minh Mai,công ty TNHH ABC,đèn LED âm trần,24,Đà Nẵng
2024-01-03,Khoa Bùi,công ty TNHH Một Thành Viên 123,đèn bàn học,24,TP Hồ Chí Minh
2025-01-13,Quý cô Mai Mai,công ty TNHH ABC,đèn cảm ứng,24,Cần Thơ
2025-01-25,Trọng Mai Nguyễn,công ty cổ phần XYZ,đèn LED tròn,71,Hà Nội
2024-02-11,Vũ Đức Đặng,công ty TNHH ABC,đèn cảm ứng,89,TP Hồ Chí Minh
2025-02-25,Thành Vũ,công ty cổ phần XYZ,đèn cảm ứng,45,Đà Nẵng
2025-01-17,Anh Anh Dương,công ty TNHH ABC,đèn bàn học,29,Hà Nội
2024-04-28,Châu Lê,công ty cổ phần XYZ,đèn LED tròn,51,Cần Thơ
2024-04-25,Khoa Hoàng Dương,công ty TNHH ABC,đèn bàn học,73,Cần Thơ
2024-04-23,Bảo Mai,công ty TNHH ABC,đèn bàn học,29,TP Hồ Chí Minh
2024-09-18,Quý ông Hưng Vũ,công ty cổ phần XYZ,đèn LED âm trần,26,TP Hồ Chí Minh
2024-09-04,Châu Bảo Vũ,công ty TNHH Một Thành Viên 123,đèn LED tròn,6,Hà Nội
2024-11-16,Lâm Thị Dương,công ty TNHH ABC,đèn bàn học,3,Cần Thơ
2024-06-10,Hải Vũ,công ty TNHH Một Thành Viên 123,đèn LED tròn,91,Hà Nội
2025-02-24,Tú Mai,công ty TNHH ABC,đèn LED âm trần,17,Đà Nẵng
2024-10-23,Vân Vũ,công ty TNHH Một Thành Viên 123,đèn bàn học,41,TP Hồ Chí Minh
2024-01-16,Anh Phúc Nguyễn,công ty cổ phần XYZ,đèn LED âm trần,80,Đà Nẵng
2024-12-05,Ông Trung Đặng,công ty TNHH ABC,đèn LED âm trần,53,Đà Nẵng
2024-05-26,Quý cô Hà Hoàng,công ty TNHH Một Thành Viên 123,đèn bàn học,38,TP Hồ Chí Minh
2024-02-06,Thành Phạm,công ty TNHH Một Thành Viên 123,đèn LED âm trần,84,Hà Nội
2024-03-09,Nhiên Văn Bùi,công ty TNHH ABC,đèn LED âm trần,6,Cần Thơ
2024-10-02,Ông Vũ Phạm,công ty TNHH Một Thành Viên 123,đèn bàn học,87,TP Hồ Chí Minh
2025-01-08,Chi Bùi,công ty TNHH Một Thành Viên 123,đèn cảm ứng,67,Cần Thơ
2025-03-01,Thành Xuân Nguyễn,công ty TNHH ABC,đèn cảm ứng,10,Hà Nội
2024-01-05,Quý cô Vi Mai,công ty TNHH ABC,đèn cảm ứng,9,Đà Nẵng
2024-02-08,Khoa Đức Nguyễn,công ty cổ phần XYZ,đèn LED âm trần,52,TP Hồ Chí Minh
2024-06-27,Quý cô Bảo Vũ,công ty cổ phần XYZ,đèn LED âm trần,79,Đà Nẵng
2024-10-27,Anh Tùng Vũ,công ty cổ phần XYZ,đèn LED âm trần,56,Đà Nẵng
2024-06-03,Nhật Đức Dương,công ty cổ phần XYZ,đèn LED âm trần,88,Hà Nội
2024-11-09,Anh Trọng Dương,công ty TNHH ABC,đèn LED tròn,50,TP Hồ Chí Minh
2024-11-01,Hạnh Đức Lê,công ty TNHH Một Thành Viên 123,đèn LED âm trần,5,Cần Thơ
2024-08-07,Châu Dương,công ty TNHH Một Thành Viên 123,đèn LED âm trần,48,Đà Nẵng
2024-04-03,Ngọc Phạm,công ty TNHH ABC,đèn cảm ứng,37,TP Hồ Chí Minh
2024-02-29,Cô Bảo Bùi,công ty TNHH ABC,đèn LED tròn,92,TP Hồ Chí Minh
2024-10-14,Quang Phạm,công ty cổ phần XYZ,đèn LED âm trần,9,Đà Nẵng
2024-11-03,Lâm Trí Phạm,công ty cổ phần XYZ,đèn LED tròn,62,Đà Nẵng
2024-07-24,Cô Chi Vũ,công ty TNHH ABC,đèn cảm ứng,57,Cần Thơ
2025-03-28,Bà Mai Đặng,công ty TNHH Một Thành Viên 123,đèn bàn học,62,Cần Thơ
2025-01-29,Hải Vũ,công ty TNHH Một Thành Viên 123,đèn LED âm trần,79,Đà Nẵng
2024-07-15,Quý ông Huy Đặng,công ty cổ phần XYZ,đèn LED âm trần,81,Đà Nẵng
2025-03-18,Quý cô Khoa Vũ,công ty TNHH ABC,đèn cảm ứng,26,Cần Thơ
2024-11-30,Hà Bùi,công ty TNHH Một Thành Viên 123,đèn cảm ứng,90,Đà Nẵng
2025-04-04,Bà Khoa Bùi,công ty cổ phần XYZ,đèn LED âm trần,64,Hà Nội
2024-11-11,Bà Vân Mai,công ty cổ phần XYZ,đèn LED tròn,62,Hà Nội
2024-09-17,Nhật Phú Vũ,công ty TNHH ABC,đèn LED tròn,16,TP Hồ Chí Minh
2024-04-29,Thảo Hoàng,công ty TNHH Một Thành Viên 123,đèn LED âm trần,46,Hà Nội
2024-07-20,Bảo Bùi,công ty TNHH Một Thành Viên 123,đèn LED âm trần,76,Đà Nẵng
2025-03-24,Phương Lê,công ty TNHH ABC,đèn cảm ứng,19,TP Hồ Chí Minh
2025-03-03,Minh Đức Vũ,công ty TNHH ABC,đèn LED âm trần,40,Cần Thơ
2024-06-23,Vi Lê,công ty cổ phần XYZ,đèn cảm ứng,71,Đà Nẵng
2024-12-17,Thành Phú Vũ,công ty cổ phần XYZ,đèn bàn học,76,Hà Nội
2024-06-28,Quý cô Mai Trần,công ty TNHH Một Thành Viên 123,đèn cảm ứng,70,Hà Nội
2024-02-22,Bác Minh Vũ,công ty cổ phần XYZ,đèn LED âm trần,92,Đà Nẵng
2024-06-18,Vũ Đức Phạm,công ty TNHH ABC,đèn cảm ứng,98,TP Hồ Chí Minh
2025-01-25,Thành Thế Hoàng,công ty TNHH Một Thành Viên 123,đèn LED âm trần,5,Hà Nội
2024-05-23,Chị Bảo Dương,công ty cổ phần XYZ,đèn LED tròn,98,Cần Thơ
2024-11-22,Phương Phạm,công ty cổ phần XYZ,đèn LED tròn,32,Cần Thơ
2025-03-19,Quý cô Thảo Lê,công ty TNHH ABC,đèn LED âm trần,48,Hà Nội
2024-05-22,An Hoàng,công ty TNHH Một Thành Viên 123,đèn bàn học,81,Đà Nẵng
2024-06-04,Hoàng Tấn Trần,công ty TNHH Một Thành Viên 123,đèn LED âm trần,99,Cần Thơ
2024-01-04,Hải Vũ,công ty cổ phần XYZ,đèn LED âm trần,59,Đà Nẵng
2024-11-27,Hạnh Phạm,công ty cổ phần XYZ,đèn LED tròn,41,Hà Nội
2025-02-18,An Trần,công ty cổ phần XYZ,đèn bàn học,45,Đà Nẵng
2024-09-03,Bà Lan Vũ,công ty TNHH Một Thành Viên 123,đèn cảm ứng,70,Cần Thơ
2024-10-05,Thành Đặng,công ty TNHH ABC,đèn LED tròn,99,Đà Nẵng
2025-03-22,Bà Mai Phạm,công ty TNHH Một Thành Viên 123,đèn LED tròn,42,TP Hồ Chí Minh
2025-04-07,Vi Lê,công ty TNHH ABC,đèn LED âm trần,100,TP Hồ Chí Minh
2024-04-04,An Đặng,công ty cổ phần XYZ,đèn cảm ứng,25,Cần Thơ
2024-12-22,Kim Vũ,công ty TNHH Một Thành Viên 123,đèn cảm ứng,80,Cần Thơ
2024-04-15,Anh Trung Đặng,công ty TNHH ABC,đèn LED tròn,94,TP Hồ Chí Minh
2025-04-06,Hạnh Hoàng,công ty cổ phần XYZ,đèn bàn học,68,Hà Nội
2024-09-28,Dương Dương,công ty TNHH Một Thành Viên 123,đèn cảm ứng,14,Hà Nội
2025-01-13,Thành Đức Vũ,công ty TNHH Một Thành Viên 123,đèn bàn học,84,Hà Nội
2024-07-31,Thành Mai,công ty TNHH Một Thành Viên 123,đèn LED âm trần,40,TP Hồ Chí Minh
2024-06-14,Kim Hoàng,công ty TNHH ABC,đèn LED tròn,75,TP Hồ Chí Minh
2024-09-01,Quý ông Minh Nguyễn,công ty cổ phần XYZ,đèn bàn học,18,TP Hồ Chí Minh
2024-12-18,Hoàng Hải Lê,công ty TNHH Một Thành Viên 123,đèn LED âm trần,98,Cần Thơ
2025-02-21,Hạnh Phú Mai,công ty TNHH Một Thành Viên 123,đèn bàn học,13,Đà Nẵng
2025-01-02,Khoa Dương,công ty TNHH Một Thành Viên 123,đèn bàn học,67,Hà Nội
2024-10-03,Vi Hoàng,công ty TNHH Một Thành Viên 123,đèn LED âm trần,29,Hà Nội
2024-07-15,Châu Trần,công ty TNHH ABC,đèn bàn học,19,Hà Nội
2025-01-28,Chị Lâm Vũ,công ty TNHH ABC,đèn bàn học,2,TP Hồ Chí Minh
2024-08-29,Hạnh Bùi,công ty cổ phần XYZ,đèn cảm ứng,62,Đà Nẵng
2024-06-11,Anh Huy Mai,công ty TNHH Một Thành Viên 123,đèn LED tròn,54,Đà Nẵng
2024-07-12,Thành Đức Đặng,công ty TNHH Một Thành Viên 123,đèn bàn học,1,TP Hồ Chí Minh
2024-10-30,Hà Mai,công ty TNHH ABC,đèn LED âm trần,69,Cần Thơ
2025-03-03,Lâm Bảo Vũ,công ty TNHH ABC,đèn LED âm trần,54,TP Hồ Chí Minh
2024-10-07,Quang Đức Hoàng,công ty cổ phần XYZ,đèn LED tròn,52,TP Hồ Chí Minh
2024-03-23,Thành Mai Bảo Lê,công ty cổ phần XYZ,đèn bàn học,29,Hà Nội
2024-02-19,Chị Hạnh Dương,công ty TNHH ABC,đèn LED tròn,76,Cần Thơ
2025-02-02,Bà Mai Dương,công ty TNHH Một Thành Viên 123,đèn LED âm trần,58,Đà Nẵng
2024-08-15,Thành Đức Dương,công ty TNHH Một Thành Viên 123,đèn bàn học,45,Hà Nội
2024-09-28,Chị Duyên Dương,công ty TNHH ABC,đèn cảm ứng,70,TP Hồ Chí Minh
2024-09-18,Vi Phạm,công ty TNHH Một Thành Viên 123,đèn LED âm trần,26,Hà Nội
2024-05-01,Dương Phạm,công ty TNHH ABC,đèn LED âm trần,95,Hà Nội
2025-02-22,Yến Mai,công ty cổ phần XYZ,đèn cảm ứng,17,Đà Nẵng
2024-01-25,Thành Quang Hoàng,công ty TNHH ABC,đèn LED âm trần,34,TP Hồ Chí Minh
2024-05-14,Hải Xuân Nguyễn,công ty cổ phần XYZ,đèn LED tròn,45,Cần Thơ
2024-08-13,Trọng Hữu Đặng,công ty TNHH ABC,đèn cảm ứng,83,Hà Nội
2024-10-16,Tùng Phạm,công ty cổ phần XYZ,đèn LED tròn,10,Hà Nội
2024-07-19,Hương Trần,công ty TNHH ABC,đèn LED âm trần,49,Hà Nội
2025-02-06,Nhật Mai Bảo Trần,công ty TNHH ABC,đèn cảm ứng,90,Cần Thơ
2024-09-16,Thảo Lê,công ty TNHH ABC,đèn LED âm trần,32,Cần Thơ
2024-02-10,Hưng Mai Bùi,công ty cổ phần XYZ,đèn bàn học,98,TP Hồ Chí Minh
2024-11-14,Lan Nguyễn,công ty TNHH Một Thành Viên 123,đèn cảm ứng,24,Cần Thơ
2024-03-25,Bác Vũ Dương,công ty TNHH Một Thành Viên 123,đèn bàn học,13,TP Hồ Chí Minh
2025-03-02,Nhật Thế Lê,công ty TNHH ABC,đèn LED âm trần,34,Đà Nẵng
2024-10-16,Bác Anh Nguyễn,công ty TNHH Một Thành Viên 123,đèn bàn học,11,Đà Nẵng
2024-10-30,Chị Hải Trần,công ty TNHH ABC,đèn cảm ứng,57,TP Hồ Chí Minh
2024-06-17,Cô Thảo Phạm,công ty TNHH ABC,đèn cảm ứng,72,Đà Nẵng
2024-09-02,Lâm Thế Bùi,công ty TNHH Một Thành Viên 123,đèn bàn học,54,TP Hồ Chí Minh
2024-10-27,Chị Ngọc Mai,công ty TNHH ABC,đèn LED tròn,48,Hà Nội
2025-02-01,Trọng Phạm,công ty TNHH ABC,đèn bàn học,82,TP Hồ Chí Minh
2024-12-11,Quý cô Hải Lê,công ty TNHH Một Thành Viên 123,đèn cảm ứng,13,Đà Nẵng
2025-03-24,Vũ Xuân Phạm,công ty TNHH Một Thành Viên 123,đèn LED âm trần,59,Hà Nội
2024-12-23,Cô Nhật Phạm,công ty TNHH Một Thành Viên 123,đèn cảm ứng,12,TP Hồ Chí Minh
2024-12-12,Tùng Đức Mai,công ty cổ phần XYZ,đèn LED âm trần,76,TP Hồ Chí Minh
2024-04-22,Ông Phúc Dương,công ty TNHH Một Thành Viên 123,đèn cảm ứng,56,Cần Thơ
2024-01-11,Ngọc Phạm,công ty cổ phần XYZ,đèn LED tròn,47,Đà Nẵng
2024-05-27,Bà Hương Mai,công ty cổ phần XYZ,đèn cảm ứng,35,Đà Nẵng
2024-08-30,Khoa Văn Hoàng,công ty TNHH Một Thành Viên 123,đèn LED tròn,63,Hà Nội
2024-11-12,Nam Mai,công ty TNHH ABC,đèn cảm ứng,80,TP Hồ Chí Minh
2024-02-25,Thành Phạm,công ty cổ phần XYZ,đèn cảm ứng,68,Cần Thơ
2024-01-14,Anh Quang Trần,công ty TNHH Một Thành Viên 123,đèn LED tròn,40,Cần Thơ
2024-12-31,Cô Lâm Mai,công ty TNHH ABC,đèn cảm ứng,68,Đà Nẵng
2024-02-22,Huy Hải Đặng,công ty cổ phần XYZ,đèn cảm ứng,75,Hà Nội
2024-02-11,Bà Ngọc Vũ,công ty TNHH ABC,đèn bàn học,37,TP Hồ Chí Minh
2024-11-30,Phương Vũ,công ty TNHH ABC,đèn LED âm trần,66,Đà Nẵng
2024-05-15,Lan Lê,công ty TNHH Một Thành Viên 123,đèn LED tròn,82,Hà Nội
2024-08-21,Thành Mai Bảo Nguyễn,công ty TNHH Một Thành Viên 123,đèn cảm ứng,67,Cần Thơ
2025-01-18,Hải Đức Lê,công ty TNHH Một Thành Viên 123,đèn cảm ứng,34,TP Hồ Chí Minh
2024-06-10,Kim Dương,công ty TNHH ABC,đèn cảm ứng,75,TP Hồ Chí Minh
2024-02-24,Vi Lê,công ty cổ phần XYZ,đèn bàn học,14,Đà Nẵng
2024-07-28,Ông Dũng Mai,công ty cổ phần XYZ,đèn bàn học,76,Cần Thơ
2024-02-17,Thành Văn Vũ,công ty TNHH ABC,đèn bàn học,71,Cần Thơ
2025-02-06,Quý cô Nhật Hoàng,công ty TNHH ABC,đèn LED âm trần,76,Hà Nội
2024-12-16,Châu Nguyễn,công ty TNHH Một Thành Viên 123,đèn LED âm trần,65,TP Hồ Chí Minh
2024-08-31,Anh Trọng Trần,công ty TNHH ABC,đèn cảm ứng,30,TP Hồ Chí Minh
2024-02-29,Thành Quang Hoàng,công ty cổ phần XYZ,đèn LED âm trần,22,TP Hồ Chí Minh
2024-03-07,An Vũ,công ty TNHH ABC,đèn LED tròn,33,Hà Nội
2024-05-15,Quý cô Hương Bùi,công ty TNHH Một Thành Viên 123,đèn bàn học,42,TP Hồ Chí Minh
2024-10-18,Quý cô Thảo Vũ,công ty TNHH ABC,đèn cảm ứng,99,Hà Nội
2024-08-25,Hạnh Nguyễn,công ty TNHH ABC,đèn bàn học,45,TP Hồ Chí Minh
2024-08-22,An Thị Trần,công ty cổ phần XYZ,đèn LED âm trần,13,Cần Thơ
2024-01-29,Bác Minh Hoàng,công ty TNHH ABC,đèn LED âm trần,11,TP Hồ Chí Minh
2025-01-06,Mai Lê,công ty TNHH ABC,đèn bàn học,90,Đà Nẵng
2024-12-12,Vi Vũ,công ty TNHH ABC,đèn LED âm trần,19,Đà Nẵng
2024-06-01,Quang Đặng,công ty cổ phần XYZ,đèn bàn học,22,Hà Nội
2024-03-16,Phúc Văn Nguyễn,công ty TNHH Một Thành Viên 123,đèn LED tròn,45,TP Hồ Chí Minh
2025-04-05,Thành Quang Phạm,công ty cổ phần XYZ,đèn bàn học,3,Đà Nẵng
2025-03-15,Lâm Trần,công ty TNHH Một Thành Viên 123,đèn cảm ứng,84,Hà Nội
2024-07-14,Chị Yến Vũ,công ty cổ phần XYZ,đèn cảm ứng,29,TP Hồ Chí Minh
2024-03-19,Trọng Lê,công ty cổ phần XYZ,đèn LED âm trần,60,Cần Thơ
2024-07-30,Cô Hải Nguyễn,công ty cổ phần XYZ,đèn bàn học,86,Hà Nội
2024-07-08,Dũng Mai,công ty cổ phần XYZ,đèn LED tròn,4,Cần Thơ
2024-07-08,Anh Tùng Bùi,công ty TNHH Một Thành Viên 123,đèn LED tròn,40,Cần Thơ
2024-03-08,Quý cô Linh Dương,công ty cổ phần XYZ,đèn LED âm trần,76,Đà Nẵng
2024-08-05,Ông Bảo Hoàng,công ty cổ phần XYZ,đèn LED tròn,71,Hà Nội
2024-04-07,Bà Linh Vũ,công ty cổ phần XYZ,đèn bàn học,54,Hà Nội
2024-12-20,Nhật Lê,công ty TNHH Một Thành Viên 123,đèn LED tròn,33,Cần Thơ
2024-05-20,Nam Mai Lê,công ty TNHH ABC,đèn cảm ứng,16,Hà Nội
2025-03-15,Nhật Phạm,công ty TNHH ABC,đèn cảm ứng,4,Cần Thơ
2025-01-21,Nhật Nguyễn,công ty TNHH Một Thành Viên 123,đèn LED âm trần,14,TP Hồ Chí Minh
2024-10-02,Dũng Thị Bùi,công ty TNHH Một Thành Viên 123,đèn LED âm trần,58,Cần Thơ
2024-02-28,Quý cô Mai Bùi,công ty TNHH Một Thành Viên 123,đèn cảm ứng,9,TP Hồ Chí Minh
2024-08-03,Cô Chi Trần,công ty TNHH Một Thành Viên 123,đèn LED tròn,89,Cần Thơ
2024-07-22,Cô Thành Bùi,công ty TNHH ABC,đèn bàn học,44,Cần Thơ
2025-02-11,Anh Thế Nguyễn,công ty TNHH Một Thành Viên 123,đèn bàn học,43,TP Hồ Chí Minh
2024-04-10,Nhật Bùi,công ty TNHH ABC,đèn cảm ứng,72,Cần Thơ
2024-09-23,Quý cô Mai Vũ,công ty cổ phần XYZ,đèn bàn học,64,Cần Thơ
2025-02-11,Chị Duyên Phạm,công ty cổ phần XYZ,đèn bàn học,54,TP Hồ Chí Minh
2024-04-27,Ông Trung Đặng,công ty TNHH Một Thành Viên 123,đèn LED âm trần,50,Hà Nội
2024-12-17,Bác Nhiên Nguyễn,công ty TNHH ABC,đèn LED âm trần,43,Hà Nội
2024-01-08,Cô Ngọc Mai,công ty TNHH Một Thành Viên 123,đèn LED âm trần,88,Cần Thơ
2024-08-11,Hạnh Hoàng,công ty TNHH ABC,đèn LED âm trần,35,TP Hồ Chí Minh
2024-07-31,Nhật Vũ,công ty cổ phần XYZ,đèn bàn học,77,TP Hồ Chí Minh
